"如果思考是生存的证明，我真难判断你是不是一具尸体","2019-10-07 14:45:32.935487"
"你脑子里的水是为了浇灌你心里的逼树吗？","2019-10-07 14:45:33.578990"
"你这杂种肯定是个愚蠢的小学生","2019-10-07 14:45:34.153579"
"你出生的时候是不是把脑子扔了，把胎盘塞脑壳里养大了","2019-10-07 14:45:34.732165"
"作为失败的典型，你真的是太成功了。","2019-10-07 14:45:35.311696"
"你到底是个什么杂交品种，脑仁儿竟然还没瓜子大","2019-10-07 14:45:35.904254"
"东边不亮西边亮，憨批啥样你啥样","2019-10-07 14:45:36.515284"
""没想到你的不要脸学位都修到博士后了"","2019-10-07 14:45:37.119778"
"我们人多有钱就足够了，哪像你们，穷的出殡都得集资","2019-10-07 14:45:37.717419"
"你妈的灵车侧翻到猪圈里把猪压死了 猪肉又涨了","2019-10-07 14:45:38.311165"
"掀起你的头盖骨，让我来看看里面的水","2019-10-07 14:45:38.898864"
"你这个傻13就像南方的农作物，一年三熟，从来都不带歇气儿的。","2019-10-07 14:45:39.504039"
"你没事儿跟我比比啥呢，我又不是吕洞宾","2019-10-07 14:45:40.086985"
"只希望你吃饭有人喂 走路有人推 夜夜缠绵于病却长命百岁 不能生育却儿孙满堂 寿比昙花福如母猪 ​​​​","2019-10-07 14:45:40.711940"
"你的人生，总结起来就八个字儿——生的荒唐，死的窝囊🙊","2019-10-07 14:45:41.317771"
"以前只知道厕所能被屎堵了，今天竟然看见有人脑子被屎堵了","2019-10-07 14:45:41.892995"
"你小时候被猪亲过吧","2019-10-07 14:45:42.516675"
"我是运气多好出门竟然踩了个你","2019-10-07 14:45:43.122723"
"我是算命的。请问您算什么东西？","2019-10-07 14:45:44.914281"
"你爸妈就该把那十分钟用来散步(￣▽￣)~*","2019-10-07 14:45:45.510352"
"返祖现象在你身上贯彻的很彻底嘛，尤其是脑子","2019-10-07 14:45:46.090731"
"您看我像配钥匙的是吧？行，您配几把？","2019-10-07 14:45:46.677758"
"我希望你能做条好狗不要总像得了狂犬病一样到处咬人","2019-10-07 14:45:47.301304"
"你说话咋这么臭呢？嘴里长痔疮了？","2019-10-07 14:45:47.892082"
"你到底是个什么品种的泥鳅，竟然专门往屎里钻","2019-10-07 14:45:48.485575"
